feature,median
spread_gate_pass,1.0
h1_signal_age_minutes,6.0
spread_points_decision,7.0
day_of_week_jst,2.0
h1_adx,30.4030477179
m1_atr_pips,2.7214285714
h1_efficiency_ratio,0.4041425819
m1_tick_volume,46.0
m1_range_pips,2.6
session_london_core_jst,0.0
session_newyork_core_jst,1.0
minute_of_day_jst,840.0
minutes_since_london_open_jst,493.0
h1_displacement_atr,3.2345286614
minutes_since_tokyo_open_jst,780.0
h1_trend_direction,-1.0
minutes_since_newyork_open_jst,512.0
session_tokyo_core_jst,0.0
bid_decision,1.20543
m1_ret_1_pips,0.0
